r	tr	gr	"sl,r"	"su,r"
339	1765.705903	2.18	0.47	0.41
340	1771.027431	1.67	0.36	0.31
341	1777.78125	3.2	0.52	0.46
342	1782.942361	2.08	0.41	0.36
343	1789.466667	2.7	0.4	0.36
344	1794.426389	2.05	1.1	0.78
345	1797.988542	3.23	0.67	0.57
346	1803.097222	2.46	0.67	0.56
347	1808.375694	2.62	0.48	0.42
348	1813.562847	3.49	0.52	0.46
349	1819.4625	2.95	0.41	0.37
350	1826.854514	2.4	0.35	0.32
351	1831.400347	2.69	0.9	0.7
352	1834.520139	2.8	0.47	0.41
353	1839.155208	1.84	0.43	0.37
354	1843.951389	2.77	0.43	0.38
355	1849.511806	1.6	0.38	0.33
356	1854.585417	1.21	0.43	0.36
357	1861.473611	2.44	0.31	0.28
358	1868.754167	2.63	0.51	0.45
